Samples	SBS96A	SBS96B	SBS96C
TCGA-KQ-A41O-01A-12D-A34U-08	216	91	0
TCGA-KQ-A41P-01A-12D-A339-08	277	17	93
TCGA-KQ-A41Q-01A-11D-A339-08	75	83	29
TCGA-KQ-A41R-01A-21D-A34U-08	321	218	446
TCGA-KQ-A41S-01A-12D-A339-08	198	22	59
TCGA-LC-A66R-01A-41D-A30E-08	73	59	28
TCGA-LT-A5Z6-01A-11D-A289-08	513	0	164
TCGA-LT-A8JT-01A-11D-A364-08	27	49	14
TCGA-MV-A51V-01A-11D-A26M-08	2055	0	0
TCGA-PQ-A6FI-01A-11D-A31L-08	87	83	16
TCGA-PQ-A6FN-01A-11D-A31L-08	32	52	13
TCGA-R3-A69X-01A-22D-A30E-08	202	54	4
TCGA-S5-A6DX-01A-11D-A31L-08	626	33	176
TCGA-S5-AA26-01A-11D-A38G-08	214	44	26
TCGA-SY-A9G0-01A-12D-A38G-08	24	40	0
TCGA-SY-A9G5-01A-11D-A38G-08	1031	0	190
TCGA-UY-A78K-01A-11D-A339-08	386	613	4
TCGA-UY-A78L-01A-12D-A339-08	176	23	63
TCGA-UY-A78M-01A-21D-A34U-08	71	78	13
TCGA-UY-A78N-01A-12D-A339-08	18	244	13
TCGA-UY-A78O-01A-12D-A339-08	100	111	10
TCGA-UY-A78P-01A-12D-A364-08	304	11	36
TCGA-UY-A8OB-01A-12D-A42E-08	128	265	0
TCGA-UY-A8OC-01A-11D-A364-08	53	33	30
TCGA-UY-A8OD-01A-11D-A364-08	34	73	6
TCGA-UY-A9PA-01A-11D-A38G-08	61	139	1
TCGA-UY-A9PB-01A-11D-A38G-08	392	287	62
TCGA-UY-A9PD-01A-11D-A38G-08	98	241	33
TCGA-UY-A9PE-01A-11D-A38G-08	119	101	39
TCGA-UY-A9PF-01A-11D-A38G-08	188	0	441
TCGA-UY-A9PH-01A-11D-A38G-08	317	0	151
TCGA-XF-A8HB-01A-11D-A364-08	15	74	4
TCGA-XF-A8HC-01A-11D-A364-08	71	58	65
TCGA-XF-A8HD-01A-11D-A364-08	453	72	62
TCGA-XF-A8HE-01A-11D-A364-08	331	0	159
TCGA-XF-A8HF-01A-11D-A364-08	55	129	1
TCGA-XF-A8HG-01A-11D-A364-08	120	165	62
TCGA-XF-A8HH-01A-11D-A38G-08	67	47	30
TCGA-XF-A8HI-01A-11D-A38G-08	59	17	20
TCGA-XF-A9SG-01A-12D-A42E-08	129	34	69
TCGA-XF-A9SH-01A-11D-A391-08	23	30	0
TCGA-XF-A9SI-01A-11D-A391-08	367	0	50
TCGA-XF-A9SJ-01A-11D-A391-08	192	11	150
TCGA-XF-A9SK-01A-11D-A42E-08	102	54	27
TCGA-XF-A9SL-01A-11D-A391-08	82	10	0
TCGA-XF-A9SM-01A-11D-A42E-08	240	0	50
TCGA-XF-A9SP-01A-11D-A391-08	202	122	46
TCGA-XF-A9ST-01A-11D-A42E-08	342	307	21
TCGA-XF-A9SU-01A-31D-A391-08	6	51	4
TCGA-XF-A9SV-01A-21D-A42E-08	16	69	5
TCGA-XF-A9SW-01A-11D-A42E-08	19	38	21
TCGA-XF-A9SX-01A-21D-A391-08	25	102	3
TCGA-XF-A9SY-01A-21D-A42E-08	230	260	18
TCGA-XF-A9SZ-01A-11D-A391-08	114	75	45
TCGA-XF-A9T0-01A-11D-A391-08	345	0	698
TCGA-XF-A9T2-01A-11D-A42E-08	55	41	6
TCGA-XF-A9T3-01A-11D-A42E-08	97	412	7
TCGA-XF-A9T4-01A-11D-A391-08	13	32	2
TCGA-XF-A9T5-01A-11D-A42E-08	731	0	129
TCGA-XF-A9T6-01A-11D-A42E-08	49	189	128
TCGA-XF-A9T8-01A-11D-A391-08	829	3	67
TCGA-XF-AAME-01A-12D-A42E-08	0	20	0
TCGA-XF-AAMF-01A-21D-A42E-08	45	34	11
TCGA-XF-AAMG-01A-11D-A42E-08	913	213	77
TCGA-XF-AAMH-01A-11D-A42E-08	3	65	0
TCGA-XF-AAMJ-01A-11D-A42E-08	2	44	0
TCGA-XF-AAML-01A-11D-A42E-08	392	1	238
TCGA-XF-AAMQ-01A-11D-A42E-08	174	37	54
TCGA-XF-AAMR-01A-31D-A42E-08	53	24	38
TCGA-XF-AAMT-01A-11D-A42E-08	43	77	0
TCGA-XF-AAMW-01A-11D-A42E-08	1	42	0
TCGA-XF-AAMX-01A-11D-A42E-08	180	204	18
TCGA-XF-AAMY-01A-11D-A42E-08	75	50	17
TCGA-XF-AAMZ-01A-11D-A42E-08	177	131	1
TCGA-XF-AAN0-01A-11D-A42E-08	371	26	97
TCGA-XF-AAN1-01A-31D-A42E-08	22	86	0
TCGA-XF-AAN2-01A-11D-A42E-08	460	0	124
TCGA-XF-AAN3-01A-11D-A42E-08	131	19	45
TCGA-XF-AAN4-01A-11D-A42E-08	24	14	0
TCGA-XF-AAN5-01A-11D-A42E-08	303	76	0
TCGA-XF-AAN7-01A-11D-A42E-08	21	143	6
TCGA-XF-AAN8-01A-11D-A42E-08	0	2	0
TCGA-YC-A89H-01A-11D-A364-08	631	0	1544
TCGA-YC-A8S6-01A-31D-A38G-08	69	37	14
TCGA-YC-A9TC-01A-22D-A391-08	67	65	0
TCGA-YF-AA3L-01A-11D-A38G-08	117	269	0
TCGA-YF-AA3M-01A-11D-A42E-08	52	154	0
TCGA-ZF-A9R0-01A-11D-A38G-08	172	41	28
TCGA-ZF-A9R1-01A-11D-A391-08	48	55	9
TCGA-ZF-A9R2-01A-11D-A391-08	109	65	0
TCGA-ZF-A9R3-01A-11D-A38G-08	44	58	4
TCGA-ZF-A9R4-01A-11D-A38G-08	212	24	62
TCGA-ZF-A9R5-01A-12D-A42E-08	1	112	0
TCGA-ZF-A9R7-01A-11D-A38G-08	748	0	128
TCGA-ZF-A9R9-01A-11D-A38G-08	115	70	55
TCGA-ZF-A9RC-01A-11D-A38G-08	538	0	715
TCGA-ZF-A9RD-01A-11D-A42E-08	122	63	34
TCGA-ZF-A9RE-01A-11D-A38G-08	3	68	0
TCGA-ZF-A9RF-01A-11D-A38G-08	140	144	11
TCGA-ZF-A9RG-01A-21D-A42E-08	169	0	133
TCGA-ZF-A9RL-01A-11D-A38G-08	225	171	0
TCGA-ZF-A9RM-01A-11D-A38G-08	9	93	0
TCGA-ZF-A9RN-01A-11D-A42E-08	121	121	0
TCGA-ZF-AA4N-01A-11D-A38G-08	94	65	36
TCGA-ZF-AA4R-01A-11D-A38G-08	35	35	0
TCGA-ZF-AA4T-01A-11D-A38G-08	15	105	0
TCGA-ZF-AA4U-01A-11D-A38G-08	5	76	0
TCGA-ZF-AA4V-01A-11D-A38G-08	420	124	333
TCGA-ZF-AA4W-01A-12D-A38G-08	179	408	0
