Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-UY-A78O-01A-12D-A339-08	9	5	3	0	0	9
TCGA-UY-A78P-01A-12D-A364-08	9	12	22	0	2	0
TCGA-UY-A8OB-01A-12D-A42E-08	3	5	0	27	6	0
TCGA-UY-A8OC-01A-11D-A364-08	5	8	0	0	6	2
TCGA-UY-A8OD-01A-11D-A364-08	3	3	0	4	0	5
TCGA-UY-A9PA-01A-11D-A38G-08	3	2	0	5	0	13
TCGA-UY-A9PB-01A-11D-A38G-08	13	17	31	19	5	12
TCGA-UY-A9PD-01A-11D-A38G-08	4	7	17	13	4	9
TCGA-UY-A9PE-01A-11D-A38G-08	5	7	19	0	0	1
TCGA-UY-A9PF-01A-11D-A38G-08	55	6	0	5	0	16
TCGA-UY-A9PH-01A-11D-A38G-08	25	27	13	0	2	3
TCGA-XF-A8HB-01A-11D-A364-08	0	3	4	0	0	3
TCGA-XF-A8HC-01A-11D-A364-08	17	6	0	0	0	6
TCGA-XF-A8HD-01A-11D-A364-08	10	33	21	0	2	8
TCGA-XF-A8HE-01A-11D-A364-08	28	16	27	0	2	1
TCGA-XF-A8HF-01A-11D-A364-08	3	0	8	7	0	1
TCGA-XF-A8HG-01A-11D-A364-08	14	8	9	18	0	8
TCGA-XF-A8HH-01A-11D-A38G-08	4	7	4	0	1	4
TCGA-XF-A8HI-01A-11D-A38G-08	5	2	3	0	0	1
TCGA-XF-A9SG-01A-12D-A42E-08	14	13	0	3	0	3
TCGA-XF-A9SH-01A-11D-A391-08	0	1	2	0	0	5
TCGA-XF-A9SI-01A-11D-A391-08	22	18	19	0	0	0
TCGA-XF-A9SJ-01A-11D-A391-08	21	7	18	0	0	1
TCGA-XF-A9SK-01A-11D-A42E-08	4	12	0	0	4	10
TCGA-XF-A9SL-01A-11D-A391-08	1	4	9	0	0	1
TCGA-XF-A9SM-01A-11D-A42E-08	17	18	0	7	0	0
TCGA-XF-A9SP-01A-11D-A391-08	6	15	20	0	12	1
TCGA-XF-A9ST-01A-11D-A42E-08	13	23	0	38	13	8
TCGA-XF-A9SU-01A-31D-A391-08	0	0	2	2	3	2
TCGA-XF-A9SV-01A-21D-A42E-08	1	0	2	6	4	1
TCGA-XF-A9SW-01A-11D-A42E-08	3	3	0	0	5	3
TCGA-XF-A9SX-01A-21D-A391-08	1	0	0	9	1	0
TCGA-XF-A9SY-01A-21D-A42E-08	2	12	13	15	5	0
TCGA-XF-A9SZ-01A-11D-A391-08	9	1	18	0	0	0
TCGA-XF-A9T0-01A-11D-A391-08	96	8	0	26	12	13
TCGA-XF-A9T2-01A-11D-A42E-08	3	5	0	5	0	0
TCGA-XF-A9T3-01A-11D-A42E-08	4	2	9	47	2	3
TCGA-XF-A9T4-01A-11D-A391-08	4	1	3	3	0	1
TCGA-XF-A9T5-01A-11D-A42E-08	65	53	10	0	0	6
TCGA-XF-A9T6-01A-11D-A42E-08	10	0	2	20	7	6
TCGA-XF-A9T8-01A-11D-A391-08	33	46	43	0	4	0
TCGA-XF-AAMF-01A-21D-A42E-08	1	1	4	0	1	1
TCGA-XF-AAMG-01A-11D-A42E-08	37	85	5	0	16	36
TCGA-XF-AAMH-01A-11D-A42E-08	0	0	0	4	5	2
TCGA-XF-AAMJ-01A-11D-A42E-08	0	1	0	0	1	6
TCGA-XF-AAML-01A-11D-A42E-08	36	28	17	0	9	1
TCGA-XF-AAMQ-01A-11D-A42E-08	15	13	18	0	3	4
TCGA-XF-AAMR-01A-31D-A42E-08	2	0	3	0	7	0
TCGA-XF-AAMT-01A-11D-A42E-08	0	12	0	6	5	0
TCGA-XF-AAMW-01A-11D-A42E-08	0	0	1	8	0	0
TCGA-XF-AAMX-01A-11D-A42E-08	12	16	0	26	6	5
TCGA-XF-AAMY-01A-11D-A42E-08	6	8	0	0	0	7
TCGA-XF-AAMZ-01A-11D-A42E-08	4	9	39	0	0	0
TCGA-XF-AAN0-01A-11D-A42E-08	35	24	6	0	7	8
TCGA-XF-AAN1-01A-31D-A42E-08	1	2	5	4	0	2
TCGA-XF-AAN2-01A-11D-A42E-08	32	35	14	0	0	0
TCGA-XF-AAN3-01A-11D-A42E-08	8	3	0	3	2	0
TCGA-XF-AAN4-01A-11D-A42E-08	1	1	0	4	1	0
TCGA-XF-AAN5-01A-11D-A42E-08	2	17	30	0	5	0
TCGA-XF-AAN7-01A-11D-A42E-08	3	0	5	14	0	2
TCGA-YC-A89H-01A-11D-A364-08	181	0	25	36	18	13
