Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-AR-A1AT-01A-11D-A12Q-09	0	11	12	0
TCGA-AR-A1AU-01A-11D-A12Q-09	3	12	4	0
TCGA-AR-A1AV-01A-21D-A12Q-09	3	27	5	7
TCGA-AR-A1AW-01A-21D-A12Q-09	4	18	15	0
TCGA-AR-A1AX-01A-11D-A12Q-09	2	11	9	1
TCGA-AR-A1AY-01A-21D-A12Q-09	7	17	19	4
TCGA-AR-A24H-01A-11D-A167-09	19	26	70	5
TCGA-AR-A24K-01A-11D-A167-09	0	12	11	4
TCGA-AR-A24L-01A-11D-A167-09	6	4	22	0
TCGA-AR-A24M-01A-11D-A167-09	1	11	12	0
TCGA-AR-A24N-01A-11D-A167-09	3	19	9	1
TCGA-AR-A24O-01A-11D-A167-09	1	17	4	0
TCGA-AR-A24P-01A-11D-A167-09	1	6	5	6
TCGA-AR-A24Q-01A-12D-A167-09	29	18	105	11
TCGA-AR-A24R-01A-11D-A167-09	3	7	6	0
TCGA-AR-A24S-01A-11D-A167-09	8	21	11	0
TCGA-AR-A24T-01A-11D-A167-09	2	8	5	1
TCGA-AR-A24U-01A-11D-A167-09	16	14	3	0
TCGA-AR-A24V-01A-21D-A167-09	4	16	4	3
TCGA-AR-A24W-01A-11D-A17G-09	0	2	6	1
TCGA-AR-A24X-01A-11D-A167-09	0	9	27	7
TCGA-AR-A24Z-01A-11D-A167-09	1	12	23	0
TCGA-AR-A250-01A-31D-A167-09	45	37	16	10
TCGA-AR-A251-01A-12D-A167-09	21	20	104	3
TCGA-AR-A252-01A-11D-A167-09	1	11	0	0
TCGA-AR-A254-01A-21D-A167-09	3	10	14	2
TCGA-AR-A255-01A-11D-A167-09	15	12	24	15
TCGA-AR-A256-01A-11D-A167-09	24	14	135	15
TCGA-AR-A2LE-01A-11D-A17W-09	214	4	13	36
TCGA-AR-A2LH-01A-31D-A18P-09	26	7	4	5
TCGA-AR-A2LK-01A-11D-A17W-09	3	20	10	2
TCGA-AR-A2LL-01A-11D-A17W-09	0	22	7	0
TCGA-AR-A2LM-01A-11D-A17W-09	2	1	7	3
TCGA-AR-A2LN-01A-21D-A18P-09	18	12	8	3
TCGA-AR-A2LO-01A-31D-A18P-09	1	1	13	0
TCGA-AR-A2LQ-01A-22D-A18P-09	0	8	3	0
TCGA-AR-A2LR-01A-12D-A18P-09	3	17	30	3
TCGA-AR-A5QM-01A-11D-A27P-09	0	11	9	2
TCGA-AR-A5QN-01A-12D-A28B-09	4	19	7	1
TCGA-AR-A5QP-01A-11D-A28B-09	3	10	2	3
TCGA-AR-A5QQ-01A-11D-A28B-09	8	25	31	3
TCGA-B6-A0I1-01A-11D-A21Q-09	5	16	27	4
TCGA-B6-A0I2-01A-11W-A050-09	25	19	4	7
TCGA-B6-A0I5-01A-11W-A100-09	0	21	5	1
TCGA-B6-A0I6-01A-11D-A128-09	5	17	55	3
TCGA-B6-A0I8-01A-11W-A050-09	20	26	65	5
TCGA-B6-A0I9-01A-11W-A050-09	4	37	16	7
TCGA-B6-A0IA-01A-11W-A050-09	6	9	44	0
TCGA-B6-A0IB-01A-11W-A050-09	10	29	16	6
TCGA-B6-A0IC-01A-11W-A050-09	6	17	15	0
TCGA-B6-A0IE-01A-11W-A050-09	4	20	19	3
TCGA-B6-A0IH-01A-11D-A10Y-09	3	14	7	3
TCGA-B6-A0IJ-01A-11W-A050-09	29	13	68	6
TCGA-B6-A0IK-01A-12W-A071-09	103	26	38	12
TCGA-B6-A0IM-01A-11W-A050-09	0	14	24	1
TCGA-B6-A0IN-01A-11W-A050-09	3	16	25	2
TCGA-B6-A0RE-01A-11W-A071-09	31	36	77	11
TCGA-B6-A0RG-01A-11W-A071-09	14	6	42	0
TCGA-B6-A0RH-01A-21D-A10Y-09	7	13	6	1
TCGA-B6-A0RI-01A-11W-A071-09	7	1	5	6
TCGA-B6-A0RL-01A-11D-A099-09	12	30	4	4
TCGA-B6-A0RM-01A-11D-A099-09	4	20	1	2
TCGA-B6-A0RN-01A-12D-A099-09	1	14	7	1
TCGA-B6-A0RO-01A-22D-A099-09	0	9	18	7
TCGA-B6-A0RP-01A-21D-A099-09	0	4	14	0
TCGA-B6-A0RQ-01A-11D-A10Y-09	18	13	5	5
TCGA-B6-A0RS-01A-11D-A099-09	24	22	86	2
TCGA-B6-A0RT-01A-21D-A099-09	8	6	28	3
TCGA-B6-A0RU-01A-11D-A099-09	2	17	23	6
TCGA-B6-A0RV-01A-11D-A099-09	37	9	0	5
