Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-XF-A9SM-01A-11D-A42E-08	116	78	17	0
TCGA-XF-A9SP-01A-11D-A391-08	108	61	74	18
TCGA-XF-A9ST-01A-11D-A42E-08	164	78	197	15
TCGA-XF-A9SU-01A-31D-A391-08	6	2	26	7
TCGA-XF-A9SV-01A-21D-A42E-08	10	6	42	4
TCGA-XF-A9SW-01A-11D-A42E-08	6	17	31	4
TCGA-XF-A9SX-01A-21D-A391-08	12	14	64	5
TCGA-XF-A9SY-01A-21D-A42E-08	126	46	159	34
TCGA-XF-A9SZ-01A-11D-A391-08	51	46	72	9
TCGA-XF-A9T0-01A-11D-A391-08	49	427	173	0
TCGA-XF-A9T2-01A-11D-A42E-08	25	17	35	0
TCGA-XF-A9T3-01A-11D-A42E-08	34	59	267	8
TCGA-XF-A9T4-01A-11D-A391-08	7	2	17	4
TCGA-XF-A9T5-01A-11D-A42E-08	383	182	21	1
TCGA-XF-A9T6-01A-11D-A42E-08	4	73	151	10
TCGA-XF-A9T8-01A-11D-A391-08	426	201	12	0
TCGA-XF-AAME-01A-12D-A42E-08	0	1	17	0
TCGA-XF-AAMF-01A-21D-A42E-08	21	14	24	6
TCGA-XF-AAMG-01A-11D-A42E-08	511	168	101	42
TCGA-XF-AAMH-01A-11D-A42E-08	1	2	38	2
TCGA-XF-AAMJ-01A-11D-A42E-08	1	0	25	5
TCGA-XF-AAML-01A-11D-A42E-08	171	171	56	29
TCGA-XF-AAMQ-01A-11D-A42E-08	82	57	28	5
TCGA-XF-AAMR-01A-31D-A42E-08	29	30	21	5
TCGA-XF-AAMT-01A-11D-A42E-08	17	5	53	4
TCGA-XF-AAMW-01A-11D-A42E-08	2	0	20	1
TCGA-XF-AAMX-01A-11D-A42E-08	94	29	130	26
TCGA-XF-AAMY-01A-11D-A42E-08	34	26	42	2
TCGA-XF-AAMZ-01A-11D-A42E-08	95	31	58	23
TCGA-XF-AAN0-01A-11D-A42E-08	191	102	19	26
TCGA-XF-AAN1-01A-31D-A42E-08	12	4	55	8
TCGA-XF-AAN2-01A-11D-A42E-08	238	144	24	2
TCGA-XF-AAN3-01A-11D-A42E-08	74	47	25	3
TCGA-XF-AAN4-01A-11D-A42E-08	18	0	10	0
TCGA-XF-AAN5-01A-11D-A42E-08	176	31	48	9
TCGA-XF-AAN7-01A-11D-A42E-08	4	19	94	6
TCGA-XF-AAN8-01A-11D-A42E-08	0	0	1	0
TCGA-YC-A89H-01A-11D-A364-08	5	1156	236	0
TCGA-YC-A8S6-01A-31D-A38G-08	39	18	14	15
TCGA-YC-A9TC-01A-22D-A391-08	34	13	37	4
TCGA-YF-AA3L-01A-11D-A38G-08	56	31	174	15
TCGA-YF-AA3M-01A-11D-A42E-08	23	20	91	8
TCGA-ZF-A9R0-01A-11D-A38G-08	102	46	23	4
TCGA-ZF-A9R1-01A-11D-A391-08	25	14	40	3
TCGA-ZF-A9R2-01A-11D-A391-08	52	15	51	0
TCGA-ZF-A9R3-01A-11D-A38G-08	20	13	34	3
TCGA-ZF-A9R4-01A-11D-A38G-08	102	75	29	2
TCGA-ZF-A9R5-01A-12D-A42E-08	2	0	70	9
TCGA-ZF-A9R7-01A-11D-A38G-08	368	190	23	19
TCGA-ZF-A9R9-01A-11D-A38G-08	58	45	52	17
TCGA-ZF-A9RC-01A-11D-A38G-08	88	547	192	0
TCGA-ZF-A9RD-01A-11D-A42E-08	54	40	41	13
TCGA-ZF-A9RE-01A-11D-A38G-08	3	0	42	9
TCGA-ZF-A9RF-01A-11D-A38G-08	71	43	98	1
TCGA-ZF-A9RG-01A-21D-A42E-08	62	118	10	12
TCGA-ZF-A9RL-01A-11D-A38G-08	123	28	104	21
TCGA-ZF-A9RM-01A-11D-A38G-08	3	5	58	5
TCGA-ZF-A9RN-01A-11D-A42E-08	65	17	71	19
TCGA-ZF-AA4N-01A-11D-A38G-08	44	37	47	12
TCGA-ZF-AA4R-01A-11D-A38G-08	12	12	25	0
TCGA-ZF-AA4T-01A-11D-A38G-08	6	8	70	2
TCGA-ZF-AA4U-01A-11D-A38G-08	1	4	53	3
TCGA-ZF-AA4V-01A-11D-A38G-08	150	248	192	13
TCGA-ZF-AA4W-01A-12D-A38G-08	111	19	248	36
TCGA-ZF-AA4X-01A-11D-A38G-08	264	264	0	24
TCGA-ZF-AA51-01A-21D-A391-08	364	129	57	5
TCGA-ZF-AA52-01A-12D-A391-08	26	38	29	17
TCGA-ZF-AA53-01A-11D-A391-08	105	38	9	1
TCGA-ZF-AA54-01A-11D-A391-08	79	35	39	0
TCGA-ZF-AA56-01A-31D-A391-08	37	8	31	7
TCGA-ZF-AA58-01A-12D-A42E-08	91	32	62	5
TCGA-ZF-AA5H-01A-11D-A391-08	13	15	27	3
TCGA-ZF-AA5N-01A-11D-A42E-08	7	2	36	3
TCGA-ZF-AA5P-01A-11D-A391-08	16	3	17	6
