Samples	SBS96A	SBS96B	SBS96C
TCGA-AO-A0J8-01A-21D-A045-09	18	3	3
TCGA-AO-A0J9-01A-11W-A050-09	45	100	9
TCGA-AO-A0JA-01A-11W-A071-09	17	19	0
TCGA-AO-A0JB-01A-11W-A071-09	96	19	9
TCGA-AO-A0JC-01A-11W-A071-09	10	132	14
TCGA-AO-A0JD-01A-11W-A071-09	104	11	12
TCGA-AO-A0JE-01A-11W-A071-09	14	22	11
TCGA-AO-A0JF-01A-11W-A071-09	24	4	3
TCGA-AO-A0JG-01A-31D-A099-09	8	0	5
TCGA-AO-A0JI-01A-21W-A100-09	19	1	4
TCGA-AO-A0JJ-01A-11W-A071-09	22	3	5
TCGA-AO-A0JM-01A-21W-A071-09	39	5	7
TCGA-AO-A124-01A-11D-A10M-09	109	13	14
TCGA-AO-A128-01A-11D-A10M-09	905	7	49
TCGA-AO-A12A-01A-21D-A10Y-09	11	2	0
TCGA-AO-A12D-01A-11D-A10Y-09	22	28	5
TCGA-AO-A12F-01A-11D-A10Y-09	23	0	4
TCGA-AO-A12H-01A-11D-A10Y-09	25	1	3
TCGA-AO-A1KO-01A-31D-A188-09	3	1	0
TCGA-AO-A1KP-01A-11D-A13L-09	17	1	0
TCGA-AO-A1KR-01A-12D-A142-09	52	14	5
TCGA-AO-A1KS-01A-11D-A13L-09	22	16	8
TCGA-AO-A1KT-01A-11D-A13L-09	35	3	5
TCGA-AQ-A04H-01B-11D-A10M-09	56	1	6
TCGA-AQ-A04J-01A-02W-A050-09	81	13	1
TCGA-AQ-A0Y5-01A-11D-A14K-09	35	17	8
TCGA-AQ-A1H2-01A-11D-A13L-09	26	2	3
TCGA-AQ-A1H3-01A-31D-A13L-09	21	0	0
TCGA-AQ-A54O-01A-11D-A25Q-09	19	3	1
TCGA-AQ-A7U7-01A-22D-A351-09	26	45	4
TCGA-AR-A0TP-01A-11D-A099-09	46	13	1
TCGA-AR-A0TQ-01A-11D-A099-09	24	9	3
TCGA-AR-A0TR-01A-11D-A099-09	27	1	3
TCGA-AR-A0TS-01A-11D-A10Y-09	69	16	0
TCGA-AR-A0TT-01A-31D-A099-09	34	15	5
TCGA-AR-A0TU-01A-31D-A10G-09	122	32	8
TCGA-AR-A0TV-01A-21D-A099-09	59	5	1
TCGA-AR-A0TW-01A-11D-A099-09	35	5	7
TCGA-AR-A0TX-01A-11D-A099-09	7	282	20
TCGA-AR-A0TY-01A-12W-A12T-09	153	16	12
TCGA-AR-A0TZ-01A-12D-A099-09	23	20	6
TCGA-AR-A0U0-01A-11D-A10G-09	148	52	8
TCGA-AR-A0U1-01A-11D-A10Y-09	66	6	6
TCGA-AR-A0U2-01A-11D-A10G-09	75	6	6
TCGA-AR-A0U3-01A-11D-A10G-09	23	1	5
TCGA-AR-A1AH-01A-11D-A12B-09	70	12	11
TCGA-AR-A1AI-01A-11D-A12Q-09	41	11	13
TCGA-AR-A1AJ-01A-21D-A12Q-09	24	14	5
TCGA-AR-A1AK-01A-21D-A12Q-09	30	25	8
TCGA-AR-A1AL-01A-21D-A12Q-09	15	7	1
TCGA-AR-A1AN-01A-11D-A12Q-09	23	1	1
TCGA-AR-A1AO-01A-11D-A12Q-09	52	33	12
TCGA-AR-A1AP-01A-11D-A12Q-09	25	5	3
TCGA-AR-A1AQ-01A-11D-A12Q-09	28	3	1
TCGA-AR-A1AR-01A-31D-A135-09	44	8	3
TCGA-AR-A1AS-01A-11D-A12Q-09	17	9	3
TCGA-AR-A1AT-01A-11D-A12Q-09	24	2	0
TCGA-AR-A1AU-01A-11D-A12Q-09	17	3	0
TCGA-AR-A1AV-01A-21D-A12Q-09	33	3	7
TCGA-AR-A1AW-01A-21D-A12Q-09	32	5	1
TCGA-AR-A1AX-01A-11D-A12Q-09	18	3	5
TCGA-AR-A1AY-01A-21D-A12Q-09	38	10	7
TCGA-AR-A24H-01A-11D-A167-09	94	30	8
TCGA-AR-A24K-01A-11D-A167-09	25	0	5
TCGA-AR-A24L-01A-11D-A167-09	26	12	0
TCGA-AR-A24M-01A-11D-A167-09	22	2	0
TCGA-AR-A24N-01A-11D-A167-09	32	3	1
TCGA-AR-A24O-01A-11D-A167-09	20	1	1
TCGA-AR-A24P-01A-11D-A167-09	13	1	6
TCGA-AR-A24Q-01A-12D-A167-09	117	50	15
TCGA-AR-A24R-01A-11D-A167-09	22	2	0
TCGA-AR-A24S-01A-11D-A167-09	34	8	3
TCGA-AR-A24T-01A-11D-A167-09	17	2	1
TCGA-AR-A24U-01A-11D-A167-09	20	16	0
TCGA-AR-A24V-01A-21D-A167-09	21	4	5
TCGA-AR-A24W-01A-11D-A17G-09	8	1	2
TCGA-AR-A24X-01A-11D-A167-09	34	2	9
TCGA-AR-A24Z-01A-11D-A167-09	38	4	0
TCGA-AR-A250-01A-31D-A167-09	63	51	9
TCGA-AR-A251-01A-12D-A167-09	126	38	4
TCGA-AR-A252-01A-11D-A167-09	11	1	0
TCGA-AR-A254-01A-21D-A167-09	22	5	5
TCGA-AR-A255-01A-11D-A167-09	34	21	16
TCGA-AR-A256-01A-11D-A167-09	139	45	21
TCGA-AR-A2LE-01A-11D-A17W-09	2	256	38
TCGA-AR-A2LH-01A-31D-A18P-09	14	30	6
TCGA-AR-A2LK-01A-11D-A17W-09	36	3	3
TCGA-AR-A2LL-01A-11D-A17W-09	30	0	2
TCGA-AR-A2LM-01A-11D-A17W-09	8	3	4
TCGA-AR-A2LN-01A-21D-A18P-09	19	19	4
TCGA-AR-A2LO-01A-31D-A18P-09	13	2	0
TCGA-AR-A2LQ-01A-22D-A18P-09	12	0	0
TCGA-AR-A2LR-01A-12D-A18P-09	48	5	5
TCGA-AR-A5QM-01A-11D-A27P-09	24	0	3
TCGA-AR-A5QN-01A-12D-A28B-09	28	4	4
TCGA-AR-A5QP-01A-11D-A28B-09	13	3	3
TCGA-AR-A5QQ-01A-11D-A28B-09	57	13	5
TCGA-B6-A0I1-01A-11D-A21Q-09	47	7	5
TCGA-B6-A0I2-01A-11W-A050-09	31	24	6
TCGA-B6-A0I5-01A-11W-A100-09	30	0	1
TCGA-B6-A0I6-01A-11D-A128-09	73	12	4
TCGA-B6-A0I8-01A-11W-A050-09	87	33	7
TCGA-B6-A0I9-01A-11W-A050-09	69	5	8
TCGA-B6-A0IA-01A-11W-A050-09	55	12	0
TCGA-B6-A0IB-01A-11W-A050-09	48	11	9
TCGA-B6-A0IC-01A-11W-A050-09	35	6	1
TCGA-B6-A0IE-01A-11W-A050-09	40	6	4
TCGA-B6-A0IH-01A-11D-A10Y-09	28	3	4
TCGA-B6-A0IJ-01A-11W-A050-09	80	45	9
TCGA-B6-A0IK-01A-12W-A071-09	59	119	15
TCGA-B6-A0IM-01A-11W-A050-09	37	2	2
TCGA-B6-A0IN-01A-11W-A050-09	39	8	3
TCGA-B6-A0RE-01A-11W-A071-09	111	46	14
TCGA-B6-A0RG-01A-11W-A071-09	41	22	2
TCGA-B6-A0RH-01A-21D-A10Y-09	19	9	3
TCGA-B6-A0RI-01A-11W-A071-09	9	7	6
TCGA-B6-A0RL-01A-11D-A099-09	42	10	6
TCGA-B6-A0RM-01A-11D-A099-09	25	4	2
TCGA-B6-A0RN-01A-12D-A099-09	25	1	1
TCGA-B6-A0RO-01A-22D-A099-09	26	3	8
TCGA-B6-A0RP-01A-21D-A099-09	21	0	2
TCGA-B6-A0RQ-01A-11D-A10Y-09	21	19	5
TCGA-B6-A0RS-01A-11D-A099-09	110	39	7
TCGA-B6-A0RT-01A-21D-A099-09	34	13	5
TCGA-B6-A0RU-01A-11D-A099-09	40	4	10
TCGA-B6-A0RV-01A-11D-A099-09	13	35	4
TCGA-B6-A0WS-01A-11D-A10Y-09	10	4	1
TCGA-B6-A0WT-01A-11D-A10G-09	17	0	3
TCGA-B6-A0WV-01A-11D-A10G-09	27	4	0
TCGA-B6-A0WW-01A-11D-A10G-09	20	6	6
TCGA-B6-A0WX-01A-11D-A10G-09	34	1	5
TCGA-B6-A0WY-01A-11D-A10G-09	22	2	4
TCGA-B6-A0WZ-01A-11D-A10G-09	12	58	7
TCGA-B6-A0X0-01A-21D-A10Y-09	14	1	7
TCGA-B6-A0X1-01A-11D-A10G-09	47	22	4
TCGA-B6-A0X4-01A-11D-A10G-09	9	1	13
TCGA-B6-A0X5-01A-21D-A10G-09	17	7	20
TCGA-B6-A1KC-01B-11D-A159-09	24	0	4
TCGA-B6-A1KF-01A-11D-A13L-09	35	7	8
TCGA-B6-A1KI-01A-11D-A14K-09	18	0	2
TCGA-B6-A1KN-01A-11D-A13L-09	43	5	10
TCGA-B6-A2IU-01A-32D-A19T-09	26	9	2
TCGA-B6-A401-01A-11D-A23C-09	18	1	3
